pc1,label
-2.199449572472753,0
-2.3563065424118346,0
-1.9208819669007724,0
1.9590873460545857,1
-1.9439350521728023,0
1.1863570610177812,1
1.2567203021864994,1
2.134716451361392,1
-1.581382385754206,0
-1.8417929418872734,0
-1.8876049189243003,0
-1.3454059990175435,0
-1.2061776955397683,0
-1.3537405850061408,0
-1.6815180245886017,0
2.600020217875472,1
1.7773643156808898,1
-1.5457943714216222,0
-1.4866449792255398,0
1.9709265823539797,1
1.6026547912078737,1
1.3770194619109413,1
-1.3264768552642097,0
-1.4826381324421307,0
-1.9019425217494943,0
-1.313941926203656,0
0.6549104867930746,1
2.358843300400716,1
2.5803649895768968,1
-1.8520169045917165,0
-1.5851915309699793,0
2.3966354877520675,1
1.444573745530025,1
-1.7704295130524166,0
2.3960204018232556,1
1.377912856239738,1
-1.6971664061037686,0
-1.638712706668846,0
-1.507199697971768,0
-1.9925498906406078,0
1.42672119099609,1
-1.7045711098606313,0
-1.6907254021101055,0
2.5984049442805226,1
-1.899631555393384,0
2.3520274960676715,1
2.7466635265080552,1
1.8380924935689837,1
1.494194867782825,1
-1.760392950517664,0
2.0127256164887397,1
2.194748936488325,1
0.502147066588608,1
1.4022767202017397,1
1.2835928340722478,1
1.053061468942199,1
-1.8150375047368126,0
1.9050681791621944,1
2.600411415731655,1
-1.1749071190144287,0
-1.6452343174948578,0
1.8419119401827018,1
1.1266290707958249,1
-1.761596935870294,0
-1.665976436410777,0
-1.6666721291719377,0
1.9271210767680858,1
